residual_std_batch_step,beta_mean_step,weekly_strength_mean_step,step,val_bias_scaled,need_mean,got_mean,residual_std_batch_epoch,beta_mean_epoch,beta_min,beta_max,weekly_strength_mean_epoch,top1_period,val_loss,epoch,beta_min_epoch,beta_max_epoch,train_loss_epoch
0.07619491219520569,0.4036993980407715,0.00616561621427536,0,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,1,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,2,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,3,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,4,,,,,,,,,,,,,,
,,,14,0.06818228960037231,-0.03859464079141617,0.02958984300494194,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.5799764394760132,0,,,
,,,14,,,,,0.4687096178531647,,,0.11451601982116699,24.0,,0,0.3999997675418854,0.9960842728614807,0.6346411108970642
0.07619491219520569,0.4036993980407715,0.00616561621427536,5,,,,,,,,,,,,,,
0.04231857508420944,0.4000000059604645,0.0,6,,,,,,,,,,,,,,
0.055148281157016754,0.40356117486953735,0.0059352475218474865,7,,,,,,,,,,,,,,
0.08489304780960083,0.5013631582260132,0.16893859207630157,8,,,,,,,,,,,,,,
0.19185829162597656,0.5710403919219971,0.2850673198699951,9,,,,,,,,,,,,,,
,,,29,-0.012251659296452999,-0.03859464079141617,-0.05084533616900444,0.09008262306451797,0.4559327960014343,0.4000130593776703,0.6344459652900696,0.09322135150432587,24.0,0.30436795949935913,1,,,
